"id","name","category","city","latitude","longitude","ticket_price","opening_hours","last_updated"
"1315","επιγραφή Περίπατου","attraction","athens","37.9723514","23.7272985",,,"2025-09-05 09:12:32.246199"
"1316","Μυκηναϊκή πηγή","attraction","athens","37.9723849","23.7258426",,,"2025-09-05 09:12:32.246199"
"1317","Πηγή Κλεψύδρα","attraction","athens","37.972194","23.7248993",,,"2025-09-05 09:12:32.246199"
"1318","Αρχαϊκή Κρηνή","attraction","athens","37.9710237","23.7260583",,,"2025-09-05 09:12:32.246199"
"1319","Βυζαντινή κινστέρνα","attraction","athens","37.9707431","23.7260453",,,"2025-09-05 09:12:32.246199"
"1320","Πρόπυλο","attraction","athens","37.9707507","23.7263986",,,"2025-09-05 09:12:32.246199"
"1321","Χαλκουργεία","attraction","athens","37.9711305","23.7255029",,,"2025-09-05 09:12:32.246199"
"1322","Ιερό της Θέμιδος","attraction","athens","37.9709732","23.7260523",,,"2025-09-05 09:12:32.246199"
"1323","Unknown-5574941825","attraction","athens","37.9697248","23.7314224",,,"2025-09-05 09:12:32.246199"
"1324","Unknown-5575261833","attraction","athens","37.9696667","23.7313941",,,"2025-09-05 09:12:32.246199"
"1325","Unknown-5575263222","attraction","athens","37.9696064","23.7309233",,,"2025-09-05 09:12:32.246199"
"1326","Unknown-5575296922","attraction","athens","37.9746108","23.7198617",,,"2025-09-05 09:12:32.246199"
"1327","Πόρτο Ράφτη Παραλία Αυλάκι","attraction","athens","37.8727071","24.0207126",,,"2025-09-05 09:12:32.246199"
"1328","Crossing","attraction","athens","38.1634571","23.7300167",,,"2025-09-05 09:12:32.246199"
"1329","Unknown-7287138685","attraction","athens","37.9675299","23.7427886",,,"2025-09-05 09:12:32.246199"
"1330","Unknown-7646252985","attraction","athens","37.992521","23.6834673",,,"2025-09-05 09:12:32.246199"
"1331","Unknown-7646261085","attraction","athens","37.9926171","23.6850082",,,"2025-09-05 09:12:32.246199"
"1332","Unknown-7692642886","attraction","athens","38.0059381","23.7025225",,,"2025-09-05 09:12:32.246199"
"1333","Unknown-7696263586","attraction","athens","37.9358791","23.6926847",,,"2025-09-05 09:12:32.246199"
"1334","Unknown-7775025985","attraction","athens","37.9842227","23.6918768",,,"2025-09-05 09:12:32.246199"
"1335","Unknown-7775025986","attraction","athens","37.9865947","23.6920256",,,"2025-09-05 09:12:32.246199"
"1336","Ο Τάφος του Θεμιστοκλή","attraction","athens","37.9416117","23.6172739",,,"2025-09-05 09:12:32.246199"
"1337","Γέφυρα ΚΟΣΚΟ","attraction","athens","38.0151115","23.6251139",,,"2025-09-05 09:12:32.246199"
"1338","Παλαιά Γερμανικά Πολυβολεία","attraction","athens","37.9251673","24.0037748",,,"2025-09-05 09:12:32.246199"
"1339","Σπήλαιο-Δολίνη Πανθήρων Βραυρώνας","attraction","athens","37.9157824","23.9959408",,,"2025-09-05 09:12:32.246199"
"1340","Παραλία Καλός Γιαλός","attraction","athens","37.8835461","24.0144559",,,"2025-09-05 09:12:32.246199"
"1341","Παραλία Αράχνες","attraction","athens","37.9027711","24.0449836",,,"2025-09-05 09:12:32.246199"
"1342","Περίεργος Τοίχος Οδού Απόλλωνος 26","attraction","athens","37.9746429","23.730392",,,"2025-09-05 09:12:32.246199"
"1343","Θρόνος του Οδυσσέα","attraction","athens","38.054985","23.6789481",,,"2025-09-05 09:12:32.246199"
"1344","Οικία Μαραθωνοδρόμου Σπύρου Λούη","attraction","athens","38.0558322","23.8091579",,,"2025-09-05 09:12:32.246199"
"1345","Unknown-8446396836","attraction","athens","37.9365309","23.6929687",,,"2025-09-05 09:12:32.246199"
"1346","Unknown-8446396837","attraction","athens","37.9362578","23.6931292",,,"2025-09-05 09:12:32.246199"
"1347","HERE Technologies Athens Greece","attraction","athens","38.0084016","23.8019228",,,"2025-09-05 09:12:32.246199"
"1348","Αθηναϊκή Λέσχη-Athens Club","attraction","athens","37.9781877","23.7345923",,,"2025-09-05 09:12:32.246199"
"1349","Game over","attraction","athens","37.9465053","23.7093622",,,"2025-09-05 09:12:32.246199"
"1350","Το Σπιτάκι της Δασκάλας","attraction","athens","37.8934104","24.016029",,,"2025-09-05 09:12:32.246199"
"1351","Unknown-8868489017","attraction","athens","37.9704792","23.7470208",,,"2025-09-05 09:12:32.246199"
"1352","Οι Τρύπες του Καραμανλή","attraction","athens","37.8146073","23.8336664",,,"2025-09-05 09:12:32.246199"
"1353","Αδριάνειος Δεξαμενή","attraction","athens","37.9790459","23.7417409",,,"2025-09-05 09:12:32.246199"
"1354","Παλαιός Πύργος Ορυχείων Καλογρέζας","attraction","athens","38.03895","23.7779024",,,"2025-09-05 09:12:32.246199"
"1355","Ελιά Πεισίστρατου","attraction","athens","38.0265016","23.7189374",,,"2025-09-05 09:12:32.246199"
"1356","Αντιαεροπορικό Καταφύγιο","attraction","athens","37.9964143","23.7349222",,,"2025-09-05 09:12:32.246199"
"1357","Αντιαεροπορικό καταφύγιο ΠΙΚΠΑ","attraction","athens","37.8512971","23.7459413",,,"2025-09-05 09:12:32.246199"
"1358","Φρεάτιο Αδριάνειου Υδραγωγείου","attraction","athens","38.1112842","23.768595",,,"2025-09-05 09:12:32.246199"
"1360","Unknown-9654405908","attraction","athens","38.0807302","23.8003928",,,"2025-09-05 09:12:32.246199"
"1361","Cruise Pier Piraeus","attraction","athens","37.9376919","23.6363342",,,"2025-09-05 09:12:32.246199"
"1362","Stavros Niarchos Foundation Cultural Center","attraction","athens","37.9400833","23.6918932",,,"2025-09-05 09:12:32.246199"
"1363","Unknown-10261377109","attraction","athens","37.9753658","23.724697",,,"2025-09-05 09:12:32.246199"
"1364","Κεκλιμένη Στοά Αδριανείου Υδραγωγείου","attraction","athens","38.1110632","23.768204",,,"2025-09-05 09:12:32.246199"
"1365","Unknown-11171567037","attraction","athens","38.0632029","23.765675",,,"2025-09-05 09:12:32.246199"
"1366","Αρχαίο Υδραγωγείο Χαλιδούς","attraction","athens","37.9306466","23.8363845",,,"2025-09-05 09:12:32.246199"
"1367","ΣΙΝ ΠΑΛΙ-ΣΙΝ ΠΑΛΗ-ΑΓΙΟΣ ΠΑΥΛΟΣ","attraction","athens","37.9334354","23.8075236",,,"2025-09-05 09:12:32.246199"
"1368","Αρχοντικό Λογοθέτη","attraction","athens","37.9752139","23.725232",,,"2025-09-05 09:12:32.246199"
"1369","Βίλα Ουρανία","attraction","athens","38.0378266","23.6873478",,,"2025-09-05 09:12:32.246199"
"1370","Αρχαια Αγροικία Βάρης","attraction","athens","37.8541005","23.804166",,,"2025-09-05 09:12:32.246199"
